#name,isap
AKTY_ZMIENIONE,Akty zmienione
AKTY_WYKONAWCZE,Akty wykonawcze
AKTY_ZMIENIAJACE,Akty zmieniające
AKTY_UCHYLONE,Akty uchylone
AKTY_UCHYLAJACE,Akty uchylające
ORZECZENIE_TK,Orzeczenie TK
AKTY_UZNANE_ZA_UCHYLONE,Akty uznane za uchylone
INFORMACJA_O_TEKSCIE_JEDNOLITYM,Informacja o tekście jednolitym
PODSTAWA_PRAWNA_Z_ART,Podstawa prawna z art.
UCHYLENIA_WYNIKAJACE_Z,Uchylenia wynikające z
PODSTAWA_PRAWNA,Podstawa prawna
ODESLANIA,Odesłania
DYREKTYWY_EUROPEJSKIE,Dyrektywy europejskie
TEKST_JEDNOLITY_DO_AKTU,Tekst jednolity do aktu
AKT_POSIDA_TEKST_JEDNOLITY,akt posiada tekst jednolity